﻿COMMENT,name,description,unit,data type,property,value type,FC,start addr,rate
INPUT,D79,周期计算二回温,,int16,RO,int16,3,4175,1
INPUT,D82,周期计算换热器一侧压差,,int16,RO,int16,3,4178,1
INPUT,D83,周期计算二温差,,int16,RO,int16,3,4179,1
INPUT,D84,周期计算二平温,,int16,RO,int16,3,4180,1
INPUT,D85,周期计算二压差,,int16,RO,int16,3,4181,1
INPUT,D86,周期相对流量,,int16,RO,int16,3,4182,1
INPUT,D87,周期二计算室温,℃,int16,RO,float,3,4183,0.1
INPUT,D88,参与室温,℃,int16,RO,float,3,4184,0.1
INPUT,D89,热源参温值,℃,int16,RO,float,3,4185,0.1
INPUT,D91,合并温差,,int16,RO,int16,3,4187,1
INPUT,D92,试验参考11,℃,int16,RO,float,3,4188,0.1
INPUT,D93,试验参数15,℃,int16,RO,float,3,4189,0.1
INPUT,D94,试验参数16,℃,int16,RO,float,3,4190,0.1
INPUT,D95,流随温补偿值共用显示值,,int16,RO,int16,3,4191,1
INPUT,D96,平均热负荷,,int16,RO,int16,3,4192,1
INPUT,D99,合并流量,,int16,RO,int16,3,4195,1
INPUT,D100,频率,,int16,RO,int16,3,4196,1
INPUT,D101,泵频率/阀开度值,,int16,RO,int16,3,4197,1
INPUT,D102,泵频/阀开百分比,,int16,RO,float,3,4198,1
INPUT,D103,试验参数9,,int16,RO,int16,3,4199,1
INPUT,D130,一网参压差值,m,int16,RO,float,3,4226,0.1
INPUT,D132,采暖季平米耗热量,GJ,int16,RO,float,3,4228,0.001
INPUT,D133,采暖季总耗热量,X10GJ,int16,RO,int16,3,4229,1
INPUT,D134,采暖季总度日数,℃d,int16,RO,int16,3,4230,1
INPUT,D136,总价,万元,int16,RO,float,3,4232,0.01
INPUT,D137,平均度日耗热量,GJ,int16,RO,float,3,4233,0.1
INPUT,D138,预测总耗热量,X10GJ,int16,RO,float,3,4234,0.1
INPUT,D139,预测平米耗热量,GJ,int16,RO,float,3,4235,0.001
INPUT,D140,预测总价格,万元,int16,RO,float,3,4236,0.01
INPUT,D142,流量/GJ,t/GJ     ,int16,RO,float,3,4238,0.1
INPUT,D143,二网全天流量,t/d      ,int16,RO,int16,3,4239,1
INPUT,D312,前天小时刻低位,,int16,RO,int16,3,4408,1
INPUT,D313,前天小时刻高位,,int16,RO,int16,3,4409,1
INPUT,D408,设计（计算）外温值,,int16,RW,int16,3,4504,1
INPUT,D409,设计（计算）供温值,,int16,RW,int16,3,4505,1
INPUT,D410,设计（计算）回温值,,int16,RW,int16,3,4506,1
INPUT,D411,最大压差值,,int16,RW,int16,3,4507,1
INPUT,D412,最大频率值,,int16,RW,int16,3,4508,1
INPUT,D413,运行室温值,,int16,RW,int16,3,4509,1
INPUT,D414,运行最小流量值,,int16,RW,int16,3,4510,1
INPUT,D415,温度系数值,,int16,RW,int16,3,4511,1
INPUT,D416,流量系数值,,int16,RW,int16,3,4512,1
INPUT,D417,室温值,,int16,RW,int16,3,4513,1
INPUT,D418,试验参数6,W/m2,int16,RW,float,3,4514,0.1
INPUT,D419,试验参数8,,int16,RW,int16,3,4515,1
INPUT,D420,频率值,,int16,RW,int16,3,4516,1
INPUT,D421,最小流量保持与设置,,int16,RW,int16,3,4517,1
INPUT,D422,流控死区,,int16,RW,int16,3,4518,1
INPUT,D423,循环泵压差系数3,,int16,RW,int16,3,4519,1
INPUT,D424,供温控制系数1,,int16,RW,int16,3,4520,1
INPUT,D425,循环泵压差系数2,,int16,RW,int16,3,4521,1
INPUT,D426,供温控制系数2,,int16,RW,int16,3,4522,1
INPUT,D428,亏温室温上限,℃,int16,RW,float,3,4524,0.1
INPUT,D429,亏热量室温下限,,int16,RW,int16,3,4525,1
INPUT,D430,换热泵压差方式系数2,,int16,RW,int16,3,4526,1
INPUT,D431,换热器压差控制系数3,,int16,RW,int16,3,4527,1
INPUT,D432,控制死区,,int16,RW,int16,3,4528,1
INPUT,D433,室温下限,,int16,RW,int16,3,4529,1
INPUT,D435,换热器最大压差,,int16,RW,int16,3,4531,1
INPUT,D436,热源参考补偿值,,int16,RW,int16,3,4532,1
INPUT,D438,人工供温输入,,int16,RW,int16,3,4534,1
INPUT,D439,供暖面积,,int16,RW,int16,3,4535,1
INPUT,D440,亏热室温改变增量,,int16,RW,int16,3,4536,1
INPUT,D441,计算时间,,int16,RW,int16,3,4537,1
INPUT,D443,室温补偿限制,,int16,RW,int16,3,4539,1
INPUT,D444,供温补偿限制,,int16,RW,int16,3,4540,1
INPUT,D445,直接输出循环泵频率,,int16,RW,int16,3,4541,1
INPUT,D446,直接输出换热阀开度百分比,,int16,RW,int16,3,4542,1
INPUT,D451,热源参温使能,,int16,RW,int16,3,4547,1
INPUT,D453,计算有效每度日耗热量宏  ,,int16,RW,int16,3,4549,1
INPUT,D456,热量初始化,,int16,RW,int16,3,4552,1
INPUT,D457,前天热量 计算使能,,int16,RW,int16,3,4553,1
INPUT,D458,DAC运行/直出/试验选择  ,,int16,RW,int16,3,4554,1
INPUT,D463,宏命令,,int16,RW,int16,3,4559,1
INPUT,D465,供温计算选择,,int16,RW,int16,3,4561,1
INPUT,D467,外温选择,,int16,RW,int16,3,4563,1
INPUT,D468,室温补偿选择,,int16,RW,int16,3,4564,1
INPUT,D474,流控周期,,int16,RW,int16,3,4570,1
INPUT,D477,循环泵频率压差选择,,int16,RW,int16,3,4573,1
INPUT,D478,循环泵控制系数1,,int16,RW,int16,3,4574,1
INPUT,D480,供温控制系数1,,int16,RW,int16,3,4576,1
INPUT,D482,使能一网亏热量使能,,int16,RW,int16,3,4578,1
INPUT,D483,盈亏热量数据采集周期,,int16,RW,int16,3,4579,1
INPUT,D485,换热器压差方式控制系数1,,int16,RW,int16,3,4581,1
INPUT,D486,锅炉出水温度控制周期,,int16,RW,int16,3,4582,1
INPUT,D487,锅炉数量,,int16,RW,int16,3,4583,1
INPUT,D488,定时使能,,int16,RW,int16,3,4584,1
INPUT,D490,二网频率上限,,int16,RW,int16,3,4586,1
INPUT,D491,二网频率下限,,int16,RW,int16,3,4587,1
INPUT,D492,二网压差上限,,int16,RW,int16,3,4588,1
INPUT,D493,二网压差下限,,int16,RW,int16,3,4589,1
INPUT,D495,二网计算供温下限,,int16,RW,int16,3,4591,1
INPUT,D497,二网计算回温下限,,int16,RW,int16,3,4593,1
INPUT,D498,换热器泵频率上限,,int16,RW,int16,3,4594,1
INPUT,D499,换热器泵频率下限,,int16,RW,int16,3,4595,1
INPUT,D506,换热器阀开度上限,,int16,RW,int16,3,4602,1
INPUT,D507,换热器阀开度下限,,int16,RW,int16,3,4603,1
INPUT,D512,亏热量阀开度动作上限,,int16,RW,int16,3,4608,1
INPUT,D513,亏热量阀开度动作下限,,int16,RW,int16,3,4609,1
INPUT,D530,外温校正,,int16,RW,int16,3,4626,1
INPUT,D537,综合热指标,,int16,RW,int16,3,4633,1
INPUT,D539,综合耗热量指标,W/m2,int16,RO,float,3,4635,0.1
INPUT,D541,二网流量,Kg/hm2,int16,RO,float,3,4637,0.01
INPUT,D543,前天小时平米热量,W/m2,int16,RO,float,3,4639,0.1
INPUT,D547,试验参数1,,int16,RO,float,3,4643,0.1
INPUT,D548,试验参数2,,int16,RO,float,3,4644,0.1
INPUT,D549,供温高低报警使能,,int16,RW,int16,3,4645,1
INPUT,D550,供温高低报警死区,,int16,RW,int16,3,4646,1
INPUT,D551,供温高低报警延时,,int16,RW,int16,3,4647,1
INPUT,D553,相对流量自动手动,,int16,RW,int16,3,4649,1
INPUT,D554,泵频率自动手动,,int16,RW,int16,3,4650,1
INPUT,D555,压差自动手动,,int16,RW,int16,3,4651,1
INPUT,D556,二网相对流量人工输入,,int16,RW,int16,3,4652,1
INPUT,D557,二网泵频率人工输入,,int16,RW,int16,3,4653,1
INPUT,D558,二网压差人工输入,,int16,RW,int16,3,4654,1
INPUT,D3000,锅炉0状态 ,,int16,RW,int16,3,7096,1
INPUT,D3001,锅炉1状态,,int16,RW,int16,3,7097,1
INPUT,D3002,锅炉2状态,,int16,RW,int16,3,7098,1
INPUT,D3003,锅炉3状态,,int16,RW,int16,3,7099,1
INPUT,D3004,锅炉4状态,,int16,RW,int16,3,7100,1
INPUT,D3005,锅炉5状态,,int16,RW,int16,3,7101,1
INPUT,D3354,采暖季平均外温,,int16,RW,int16,3,7450,1
INPUT,D3355,采暖天数,,int16,RW,int16,3,7451,1
INPUT,D3356,GJ价格,,int16,RW,int16,3,7452,1
INPUT,D3357,预测参数初始化,,int16,RW,int16,3,7453,1
INPUT,D3902,字保持备1,,int16,RW,int16,3,7998,1
INPUT,D3904,字保持备2,,int16,RW,int16,3,8000,1
INPUT,D5800,字备用1,,int16,RO,int16,3,38568,1
INPUT,D5802,字备用2,,int16,RO,int16,3,38570,1
INPUT,D5870,阀输出,%,int16,RO,int16,3,38638,1
INPUT,D5872,泵频率,HZ,int16,RO,float,3,38640,0.1
INPUT,D6010,当天耗热量,,int16,RO,int16,3,38778,1
INPUT,D3367,相关系数,,int16,RO,float,3,7463,0.01
INPUT,D3366,样本个数,,int16,RW,int16,3,7462,1
INPUT,D2026,最大流量,Kg/hm2,int16,RO,float,3,6122,0.01
INPUT,D2027,耗热量指标,W/m2,int16,RO,float,3,6123,0.1
